surface_id,bulk_id,gemnet_e_ads_o,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,dft_e_ads_o,dft_e_ads_oh,dft_U_limiting,dft_eta_ORR,dft_limiting_step,error_e_ads_o,error_e_ads_oh,error_eta,performance,bulk_formula,slab_formula,slab_formula_reduced,miller,num_atoms
mp-4876_111,mp-4876,1.8572592773437493,0.9191896972656242,0.8008103027343756,0.4291896972656244,1.8289220599999887,0.8604344699999977,0.859565530000002,0.3704344699999979,1,0.0283372173437601,0.0587552272656264,0.0587552272656264,Very Good,Sb4Se12Tl12,Sb12Se36Tl36,SbSe3Tl3,"[1, 1, 1]",84
mp-29428_111,mp-29428,2.1902670898437497,0.8717653808593742,0.8482346191406256,0.3817653808593744,2.0736966800000047,0.8614506899999945,0.8585493100000052,0.3714506899999947,1,0.116570409843745,0.0103146908593796,0.0103146908593796,Very Good,Cl12Ta2Te4,Cl24Ta4Te8,Cl6TaTe2,"[1, 1, 1]",36
mp-12910_010,mp-12910,1.9206442871093747,0.8636782226562492,0.8563217773437506,0.3736782226562494,1.9560519399999727,0.8657763999999837,0.8542236000000161,0.3757763999999839,1,-0.0354076528905984,-0.0020981773437345,-0.0020981773437345,Very Good,Ge2S2,Ge36S36,GeS,"[0, 1, 0]",72
mp-571547_110,mp-571547,1.6859259643554685,0.8269045410156242,0.8269045410156242,0.4030954589843758,2.9864763,0.8715472999999996,0.8484527000000002,0.3815472999999998,1,-1.3005503356445316,-0.0446427589843754,0.021548158984376,Very Good,Au4Te8,Au8Te16,AuTe2,"[1, 1, 0]",24
mp-2302_111,mp-2302,1.8748068847656247,0.8011934814453117,0.8011934814453117,0.4288065185546883,1.803399430000006,0.8442835499999966,0.8442835499999966,0.3857164500000034,4,0.0714074547656187,-0.0430900685546848,0.0430900685546848,Very Good,AsRh2,As12Rh24,AsRh2,"[1, 1, 1]",36
mp-3291_010,mp-3291,1.8192572631835933,0.8995516357421867,0.8204483642578131,0.4095516357421869,2.694959300000008,0.8433186200000087,0.8433186200000087,0.3866813799999913,4,-0.8757020368164146,0.0562330157421779,0.0228702557421955,Very Good,Ag2Au2Te8,Ag4Au4Te16,AgAuTe4,"[0, 1, 0]",24
mp-10654_100,mp-10654,1.8645224609375,0.8110277709960929,0.8110277709960929,0.418972229003907,1.8234158499999964,0.899490960000005,0.8205090399999948,0.4094909600000052,1,0.0411066109375035,-0.088463189003912,0.0094812690039018,Good,Te,Te27,Te,"[1, 0, 0]",27
mp-105_010,mp-105,1.7212958374023437,0.8065950927734367,0.8065950927734367,0.4234049072265633,1.9629594700000084,0.90980231,0.8101976899999999,0.4198023100000001,1,-0.2416636325976646,-0.1032072172265633,0.0036025972265631,Good,Te4,Te24,Te,"[0, 1, 0]",24
mp-773980_1-1-1,mp-773980,2.1930441894531247,0.8269045410156242,0.8269045410156242,0.4030954589843758,2.2005743999999865,0.8068021799999734,0.8068021799999734,0.4231978200000266,4,-0.0075302105468617,0.0201023610156507,-0.0201023610156507,Good,Bi6Cl20Te4,Bi12Cl40Te8,Bi3Cl10Te2,"[1, -1, -1]",60
mp-865232_110,mp-865232,1.9607596435546872,0.8203280029296867,0.8203280029296867,0.4096719970703133,1.5548069600000003,0.7708720399999969,0.7708720399999969,0.4591279600000031,4,0.4059526835546869,0.0494559629296897,-0.0494559629296897,Acceptable,AuPd2Tl,Au16Pd32Tl16,AuPd2Tl,"[1, 1, 0]",64
mp-1183205_001,mp-1183205,2.318608764648437,0.8115084228515617,0.8115084228515617,0.4184915771484383,2.380505399999997,0.7509506799999848,0.7509506799999848,0.4790493200000152,4,-0.0618966353515602,0.0605577428515768,-0.0605577428515768,Acceptable,Ag6Au2,Ag48Au16,Ag3Au,"[0, 0, 1]",64
mp-644883_001,mp-644883,2.214452270507812,0.9128878173828116,0.8071121826171881,0.4228878173828119,2.1411687500000127,0.7459567500000013,0.7459567500000013,0.4840432499999987,4,0.073283520507799,0.1669310673828102,-0.0611554326171868,Acceptable,Ag12Cu4S8,Ag24Cu8S16,Ag3CuS2,"[0, 0, 1]",48
mp-34292_001,mp-34292,1.853574279785156,0.8139956054687492,0.8139956054687492,0.4160043945312508,1.779345830000004,0.7399314600000046,0.7399314600000046,0.4900685399999953,4,0.0742284497851519,0.0740641454687445,-0.0740641454687445,Acceptable,SbTe6Tl9,Sb2Te12Tl18,SbTe6Tl9,"[0, 0, 1]",32
mp-1227450_001,mp-1227450,1.8329978027343747,0.8290102539062492,0.8290102539062492,0.4009897460937508,2.0949026899999907,0.981208399999982,0.7387916000000176,0.4912083999999823,1,-0.261904887265616,-0.1521981460937328,-0.0902186539062315,Acceptable,Bi3PbPd12,Bi12Pb4Pd48,Bi3PbPd12,"[0, 0, 1]",64
