surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,gemnet_limiting_step
mp-10046_001,mp-10046,1.3990683593749995,1.7730917968749995,0.5345766601562492,0.9043886718749992,0.8156113281250006,0.4143886718749994,1
mp-1007652_100,mp-1007652,1.3607230224609372,1.3993048706054685,0.6505587158203117,0.8451387939453117,0.5541660766601568,0.6758339233398432,3
mp-1009130_111,mp-1009130,1.9803671875,1.9861044921875,0.8332827148437492,1.1493227539062492,0.5706772460937506,0.6593227539062494,1
mp-1009152_111,mp-1009152,2.0007224121093747,2.0275778808593747,0.8578493652343742,1.1685793457031242,0.5514206542968756,0.6785793457031244,1
mp-1009641_001,mp-1009641,2.016973022460937,1.8694510498046872,1.0504305419921869,0.8316958007812492,0.8316958007812492,0.3983041992187508,4
mp-1011695_111,mp-1011695,2.084027770996093,1.966092590332031,0.8452150878906242,0.7186281738281242,0.7186281738281242,0.5113718261718758,4
mp-1014204_010,mp-1014204,1.9294943847656247,1.8398642578125,0.5396425781249992,0.6714785156249992,0.6714785156249992,0.5585214843750008,4
mp-1017554_100,mp-1017554,1.4830222167968747,1.8683371582031247,0.6448977050781242,0.7269289550781242,0.7269289550781242,0.5030710449218758,4
mp-1018020_101,mp-1018020,1.810399536132812,1.6934866943359372,1.1822207031249992,0.7228243408203117,0.7228243408203117,0.5071756591796883,4
mp-1021465_001,mp-1021465,2.431615356445312,1.8743338623046872,0.9339144287109368,0.8635256347656242,0.8564743652343756,0.3735256347656244,1
mp-10246_001,mp-10246,1.5369925537109372,1.4150595703124995,0.6343386230468742,0.8760836181640617,0.5389759521484379,0.6910240478515621,3
mp-1025159_10-1,mp-1025159,1.4567465820312495,1.4373374023437495,0.5846254882812492,0.5097353515624992,0.5097353515624992,0.7202646484375008,4
mp-1025258_101,mp-1025258,1.4442038574218747,1.3776145019531247,0.5016176757812492,0.6175539550781242,0.6175539550781242,0.6124460449218758,4
mp-1025294_100,mp-1025294,1.5300498046874995,1.6987814941406247,0.6150209960937492,0.8196871337890617,0.8196871337890617,0.4103128662109383,4
mp-1025306_001,mp-1025306,1.4442801513671872,1.7011771240234372,0.6710817871093742,0.6184237060546867,0.6184237060546867,0.6115762939453133,4
mp-1025318_11-1,mp-1025318,1.3863120117187495,1.8459982910156247,0.5655520019531242,0.5147402343749992,0.5147402343749992,0.7152597656250008,4
mp-1025324_001,mp-1025324,1.5820212402343747,1.8454947509765625,0.6165773925781242,0.5858309326171867,0.5858309326171867,0.6441690673828133,4
mp-1025329_001,mp-1025329,1.5578055419921872,1.84218359375,0.5889284667968742,0.6196444091796867,0.6196444091796867,0.6103555908203133,4
mp-1025348_001,mp-1025348,1.8347830810546872,2.431783203125,0.8484346923828117,0.8669283447265617,0.8530716552734381,0.3769283447265619,1
mp-1025366_001,mp-1025366,1.5938315429687495,1.7681479492187495,0.6750948486328117,0.5460207519531242,0.5460207519531242,0.6839792480468758,4
mp-1040453_010,mp-1040453,1.9815268554687495,1.5808920898437495,0.5567629394531242,1.0164187011718742,0.5644733886718754,0.6655266113281246,3
mp-10519_100,mp-10519,1.2897238769531247,1.4566245117187495,0.6498415527343742,0.5137026367187492,0.5137026367187492,0.7162973632812508,4
mp-1057086_110,mp-1057086,2.5616049804687497,2.3967490234375,0.8894350585937492,0.7983095703124992,0.7983095703124992,0.4316904296875008,4
mp-105_010,mp-105,1.4292655029296872,1.7212958374023437,0.8529131469726554,0.8065950927734367,0.8065950927734367,0.4234049072265633,4
mp-10621_10-1,mp-10621,2.199071411132812,1.6392569580078122,0.7105104980468742,0.8242189941406242,0.8150379638671881,0.4149620361328119,3
mp-10654_100,mp-10654,2.2828192749023435,1.8645224609375,1.178581481933593,0.8110277709960929,0.8110277709960929,0.41897222900390707,4
mp-1066078_100,mp-1066078,2.0294089355468747,2.0310416259765622,0.5896761474609367,0.6295931396484367,0.6295931396484367,0.6004068603515633,4
mp-1067758_001,mp-1067758,1.4561667480468747,1.364346984863281,0.8470385131835929,0.5974657592773429,0.5974657592773429,0.6325342407226571,4
mp-1068464_001,mp-1068464,1.9193625488281247,1.82167578125,0.9214174804687492,0.5770876464843742,0.5770876464843742,0.6529123535156258,4
mp-1068510_001,mp-1068510,2.0622763671875,1.4830527343749995,1.1727602539062492,0.8907778320312492,0.5922749023437504,0.6377250976562496,3
mp-1069706_011,mp-1069706,1.7482962646484372,1.6759238281249995,0.7498476562499992,0.6995852050781242,0.6995852050781242,0.5304147949218758,4
mp-1069771_011,mp-1069771,2.0259604492187497,1.6064047851562495,0.8635103759765617,0.6848146972656242,0.6848146972656242,0.5451853027343758,4
mp-1071078_110,mp-1071078,1.5957236328124995,1.8994650878906247,0.8621523437499992,1.1409304199218742,0.5790695800781256,0.6509304199218744,1
mp-1077354_001,mp-1077354,1.6967978515624995,1.5849814453124995,1.1622011718749992,0.5249941406249992,0.5249941406249992,0.7050058593750008,4
mp-1077383_110,mp-1077383,1.8028922119140625,1.5296988525390622,0.7895357666015617,0.8964998779296867,0.6331989746093756,0.5968010253906244,3
mp-1077811_010,mp-1077811,2.089238647460937,2.3473563232421872,0.5625917968749992,0.7116549072265617,0.7116549072265617,0.5183450927734383,4
mp-1078005_001,mp-1078005,2.0019736328125,1.8003439941406247,0.8532717285156242,0.7235415039062492,0.7235415039062492,0.5064584960937508,4
mp-1078049_101,mp-1078049,1.7613120117187495,1.8772025146484368,1.0978853759765617,1.0501864013671869,0.6698135986328131,0.5601864013671869,1
mp-1078079_001,mp-1078079,1.8361105957031247,2.03066015625,0.6826479492187492,0.9102480468749992,0.8097519531250006,0.4202480468749994,1
mp-1078168_101,mp-1078168,1.9813284912109368,1.8706870117187495,1.1792757568359369,0.8260805664062492,0.8260805664062492,0.4039194335937508,4
mp-1078313_001,mp-1078313,1.3757224121093747,1.4260764160156247,0.6932985839843742,0.6065371093749992,0.6065371093749992,0.6234628906250008,4
mp-1078387_111,mp-1078387,1.828267578125,1.3932700195312495,1.1116030273437492,0.6979067382812492,0.6953632812500004,0.5346367187499996,3
mp-1078696_100,mp-1078696,2.436063293457031,1.9579215087890625,0.9775927124023428,1.0564425048828117,0.6635574951171881,0.5664425048828119,1
