surface_id,bulk_id,gemnet_e_ads_o,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,dft_e_ads_o,dft_e_ads_oh,dft_U_limiting,dft_eta_ORR,dft_limiting_step,error_e_ads_o,error_e_ads_oh,error_eta,performance
mp-4876_111,mp-4876,1.8572592773437493,0.9191896972656242,0.8008103027343756,0.4291896972656244,1.8289220599999891,0.8604344699999977,0.859565530000002,0.37043446999999796,1,0.028337217343760157,0.05875522726562643,0.05875522726562643,Good
mp-29428_111,mp-29428,2.1902670898437497,0.8717653808593742,0.8482346191406256,0.3817653808593744,2.0736966800000047,0.8614506899999945,0.8585493100000052,0.37145068999999475,1,0.116570409843745,0.010314690859379638,0.010314690859379638,Good
mp-12910_010,mp-12910,1.9206442871093747,0.8636782226562492,0.8563217773437506,0.3736782226562494,1.9560519399999732,0.8657763999999837,0.8542236000000161,0.3757763999999839,1,-0.03540765289059844,-0.0020981773437345197,-0.0020981773437345197,Good
mp-571547_110,mp-571547,1.6859259643554685,0.8269045410156242,0.8269045410156242,0.4030954589843758,2.9864763,0.8715472999999996,0.8484527000000002,0.3815472999999998,1,-1.3005503356445316,-0.04464275898437542,0.02154815898437601,Good
mp-2302_111,mp-2302,1.8748068847656247,0.8011934814453117,0.8011934814453117,0.4288065185546883,1.803399430000006,0.8442835499999966,0.8442835499999966,0.38571645000000343,4,0.07140745476561872,-0.04309006855468489,0.04309006855468489,Good
mp-3291_010,mp-3291,1.8192572631835933,0.8995516357421867,0.8204483642578131,0.4095516357421869,2.694959300000008,0.8433186200000087,0.8433186200000087,0.3866813799999913,4,-0.8757020368164146,0.05623301574217798,0.02287025574219559,Good
mp-10654_100,mp-10654,1.8645224609375,0.8110277709960929,0.8110277709960929,0.418972229003907,1.8234158499999964,0.899490960000005,0.8205090399999948,0.4094909600000052,1,0.04110661093750356,-0.08846318900391203,0.009481269003901838,Acceptable
mp-105_010,mp-105,1.7212958374023437,0.8065950927734367,0.8065950927734367,0.4234049072265633,1.9629594700000084,0.90980231,0.8101976899999999,0.4198023100000001,1,-0.24166363259766466,-0.10320721722656334,0.003602597226563198,Acceptable
mp-773980_1-1-1,mp-773980,2.1930441894531247,0.8269045410156242,0.8269045410156242,0.4030954589843758,2.2005743999999865,0.8068021799999734,0.8068021799999734,0.4231978200000266,4,-0.00753021054686176,0.02010236101565077,-0.02010236101565077,Acceptable
mp-865232_110,mp-865232,1.9607596435546872,0.8203280029296867,0.8203280029296867,0.4096719970703133,1.5548069600000003,0.7708720399999969,0.7708720399999969,0.4591279600000031,4,0.40595268355468694,0.04945596292968979,-0.04945596292968979,Poor
mp-1183205_001,mp-1183205,2.318608764648437,0.8115084228515617,0.8115084228515617,0.4184915771484383,2.380505399999997,0.7509506799999848,0.7509506799999848,0.4790493200000152,4,-0.0618966353515602,0.06055774285157689,-0.06055774285157689,Poor
