surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,fork_U_limiting,fork_eta_ORR,fork_limiting_step
mp-1002123_001,mp-1002123,1.7356162109374995,0.4160971679687497,0.5238344726562492,0.5294497070312492,0.5238344726562492,0.7061655273437508,4
mp-10046_001,mp-10046,1.3990683593749995,1.7730917968749995,0.5345766601562492,0.9043886718749992,0.5345766601562492,0.6954233398437508,4
mp-1007652_100,mp-1007652,1.3607230224609372,1.3993048706054685,0.6505587158203117,0.8451387939453117,0.6505587158203117,0.5794412841796883,4
mp-1008874_111,mp-1008874,1.7493491210937495,1.3141379394531247,0.9444124755859368,1.3431398925781242,0.7755875244140631,0.4544124755859369,1
mp-1009130_111,mp-1009130,1.9803671875,1.9861044921875,0.8332827148437492,1.1493227539062492,0.8332827148437492,0.3967172851562508,4
mp-1009152_111,mp-1009152,2.0007224121093747,2.0275778808593747,0.8578493652343742,1.1685793457031242,0.8578493652343742,0.3721506347656258,4
mp-1009641_001,mp-1009641,2.016973022460937,1.8694510498046872,1.0504305419921869,0.8316958007812492,0.6695694580078131,0.5604305419921869,1
mp-1011695_111,mp-1011695,2.084027770996093,1.966092590332031,0.8452150878906242,0.7186281738281242,0.8452150878906242,0.3847849121093758,4
mp-1014204_010,mp-1014204,1.9294943847656247,1.8398642578125,0.5396425781249992,0.6714785156249992,0.5396425781249992,0.6903574218750008,4
mp-10164_100,mp-10164,1.2191977539062495,1.0161566772460937,0.6360018310546867,0.6699373779296867,0.5831959228515629,0.6468040771484371,3
mp-1017554_100,mp-1017554,1.4830222167968747,1.8683371582031247,0.6448977050781242,0.7269289550781242,0.6448977050781242,0.5851022949218758,4
mp-1018020_101,mp-1018020,1.810399536132812,1.6934866943359372,1.1822207031249992,0.7228243408203117,0.5377792968750006,0.6922207031249994,1
mp-1018115_010,mp-1018115,3.0617880859375,2.0599875488281247,1.1068422851562492,1.6751406249999992,0.6131577148437506,0.6168422851562494,1
