surface_id,bulk_id,crack_e_ads,crack_time,crack_steps,crack_converged,gemnet_e_ads,gemnet_time,gemnet_steps,gemnet_converged
mp-10000_101,mp-10000,-2.816467041015626,0.9991059303283691,81.0,True,-2.220336669921876,1.7536134719848633,47.0,True
mp-10003_101,mp-10003,-1.3954160156250008,0.6499578952789307,53.0,True,-1.4444272460937508,2.488642692565918,68.0,True
mp-10004_110,mp-10004,-1.6605527343750008,0.5891566276550293,47.0,True,-1.1698300781250008,2.3289971351623535,49.0,True
mp-10009_001,mp-10009,1.7991335449218742,0.17432808876037598,15.0,True,2.048637634277343,2.907132863998413,81.0,True
mp-1001012_100,mp-1001012,0.7646181640624992,0.13805103302001953,11.0,True,-0.10110449218750084,5.518001079559326,115.0,True
mp-1001016_100,mp-1001016,0.49032617187499916,0.3283047676086426,25.0,True,-0.7450253906250008,7.076262712478638,149.0,True
mp-1001017_100,mp-1001017,0.22056604003906166,0.9530575275421143,77.0,True,0.4209826049804679,4.213158845901489,119.0,True
mp-1001022_100,mp-1001022,-0.6788632812500008,0.41372132301330566,32.0,True,-0.11569189453125084,4.877547979354858,115.0,True
mp-10010_001,mp-10010,-0.7644345703125008,0.22504162788391113,18.0,True,-0.28811621093750084,1.5278174877166748,34.0,True
mp-1001159_110,mp-1001159,-0.38845800781250084,0.1990058422088623,15.0,True,-0.6891171875000008,2.0759148597717285,42.0,True
mp-10014_001,mp-10014,1.5785219726562492,0.5118923187255859,41.0,True,1.3825380859374992,1.5660548210144043,37.0,True
mp-10015_110,mp-10015,0.22821069335937416,0.39246368408203125,31.0,True,-0.17822241210937584,1.5650863647460938,40.0,True
mp-1001793_110,mp-1001793,-0.15109228515625084,0.1743302345275879,14.0,True,0.07943749999999916,2.5706045627593994,62.0,True
mp-1001836_101,mp-1001836,-2.225616210937501,0.459672212600708,37.0,True,0.11120629882812416,1.487152338027954,39.0,True
mp-1002063_101,mp-1002063,0.12136865234374916,0.46067261695861816,37.0,True,-0.24731420898437584,2.6252288818359375,70.0,True
mp-1002106_110,mp-1002106,-1.8577878417968758,0.3094136714935303,25.0,True,-2.190704101562501,1.972630500793457,51.0,True
mp-1002114_111,mp-1002114,-2.275726074218751,0.26998090744018555,21.0,True,-2.725860351562501,2.251671552658081,46.0,True
mp-1002122_110,mp-1002122,-1.2790219726562508,0.29827165603637695,24.0,True,-1.3743588867187508,2.181475877761841,56.0,True
mp-1002123_001,mp-1002123,0.5238344726562492,0.2637012004852295,21.0,True,0.5294497070312492,1.5635771751403809,32.0,True
mp-10021_011,mp-10021,-0.34175085449218834,0.5573148727416992,42.0,True,-0.0010755004882820884,0.8502774238586426,22.0,True
mp-10025_100,mp-10025,-0.22976660156250084,0.5041646957397461,40.0,True,-0.13992285156250084,1.377131700515747,30.0,True
mp-10026_100,mp-10026,-2.2455594482421883,0.3506755828857422,28.0,True,-2.143523925781251,2.578559637069702,71.0,True
mp-10032_10-1,mp-10032,-0.6798398437500008,0.25229620933532715,20.0,True,-0.24902319335937584,1.429692029953003,34.0,True
mp-10033_001,mp-10033,1.4829714355468742,0.5489501953125,44.0,True,1.1450502929687492,1.3518671989440918,35.0,True
mp-1003509_100,mp-1003509,-1.9161069335937508,0.4183187484741211,31.0,True,-2.494720214843751,3.7987377643585205,94.0,True
mp-10037_100,mp-10037,-0.33145117187500084,0.4916648864746094,38.0,True,-0.5834653320312508,1.867633581161499,39.0,True
mp-10046_001,mp-10046,0.5345766601562492,0.6481730937957764,52.0,True,0.9043886718749992,1.4966464042663574,36.0,True
mp-10047_001,mp-10047,-2.9178082885742196,0.3944056034088135,32.0,True,-2.449981445312501,1.2973382472991943,36.0,True
mp-10049_111,mp-10049,-0.42327856445312584,0.6212623119354248,49.0,True,-1.4496152343750008,3.7956528663635254,100.0,True
mp-10052_100,mp-10052,-1.3630673828125008,0.2710402011871338,22.0,True,-1.6713864746093758,2.016298532485962,48.0,True
mp-10054_100,mp-10054,-0.8785092773437508,0.4387238025665283,34.0,True,-0.9465024414062508,1.0390567779541016,25.0,True
mp-1005986_100,mp-1005986,-2.8992764892578133,1.197681188583374,97.0,True,-2.2027738037109383,3.1200785636901855,88.0,True
mp-1005_101,mp-1005,-1.0340878906250008,0.5393798351287842,42.0,True,-0.07333349609375084,1.9996964931488037,43.0,True
mp-1006118_101,mp-1006118,1.6484987792968742,0.2883322238922119,23.0,True,1.6359560546874992,1.375190258026123,34.0,True
mp-1006132_100,mp-1006132,-1.5873715820312508,0.6556763648986816,53.0,True,-1.8466794433593758,2.421863317489624,60.0,True
mp-10063_111,mp-10063,0.09062219238281166,0.4758758544921875,40.0,True,0.0054400024414054116,1.8254528045654297,50.0,True
mp-1006888_110,mp-1006888,-0.7532956542968758,0.5845315456390381,47.0,True,-0.36453222656250084,3.3521621227264404,84.0,True
mp-10074_101,mp-10074,0.40518212890624916,0.44758057594299316,38.0,True,0.15939355468749916,2.766911268234253,74.0,True
mp-1007637_001,mp-1007637,-1.0337827148437508,0.3498685359954834,28.0,True,-0.5515439453125008,5.750022649765015,137.0,True
mp-1007652_100,mp-1007652,0.6505587158203117,0.5354859828948975,46.0,True,0.8451387939453117,2.170889377593994,61.0,True
mp-1007656_111,mp-1007656,-0.9156796875000008,0.9542710781097412,74.0,True,-1.1678159179687508,2.771963119506836,58.0,True
mp-1007685_110,mp-1007685,-0.46528601074218834,1.5407075881958008,127.0,True,-2.154174560546876,6.580301523208618,165.0,True
mp-1007691_101,mp-1007691,-1.6188046875000008,0.23966741561889648,19.0,True,-1.5006406250000008,2.4585745334625244,63.0,True
mp-1007692_010,mp-1007692,-1.8275144042968758,0.3633255958557129,28.0,True,-1.4972531738281258,1.1984503269195557,31.0,True
mp-10076_001,mp-10076,-0.7054746093750008,0.4845767021179199,38.0,True,-1.0350034179687508,2.0655672550201416,41.0,True
mp-1007730_111,mp-1007730,-1.4328610839843758,0.13219642639160156,10.0,True,-0.8039243164062508,1.8128559589385986,48.0,True
mp-1007755_001,mp-1007755,-0.06085180664062584,1.2371695041656494,97.0,True,-0.46020483398437584,2.0594515800476074,50.0,True
mp-1007758_001,mp-1007758,-0.25086950683593834,0.31740546226501465,25.0,True,-0.15249609375000084,3.088134765625,81.0,True
mp-1007760_100,mp-1007760,-0.5946576538085946,0.9881608486175537,78.0,True,-0.44763159179687584,3.1614904403686523,88.0,True
mp-1007786_001,mp-1007786,-1.2168576660156258,0.7892892360687256,64.0,True,-1.5239560546875008,2.04579496383667,55.0,True
mp-1007855_111,mp-1007855,-0.25112890625000084,0.6284823417663574,47.0,True,-0.6575009765625008,3.1586568355560303,57.0,True
mp-1007857_010,mp-1007857,-0.08071875000000084,0.39437389373779297,32.0,True,0.11259484863281166,1.7291388511657715,44.0,True
mp-1007923_111,mp-1007923,-0.19149755859375084,0.39186716079711914,30.0,True,-0.5216977539062508,2.7789013385772705,67.0,True
mp-1007974_111,mp-1007974,-0.5717465820312508,0.9153425693511963,72.0,True,-0.5628354492187508,1.7194464206695557,35.0,True
mp-1007976_110,mp-1007976,-1.1834347190856942,0.4630110263824463,40.0,True,-1.2406575622558602,0.9258551597595215,29.0,True
mp-1008224_110,mp-1008224,-1.1492612304687508,1.4165799617767334,110.0,True,-3.007903808593751,3.967045783996582,82.0,True
mp-1008274_111,mp-1008274,-0.49807714843750084,0.6101510524749756,48.0,True,-0.6460263671875008,1.840200662612915,38.0,True
mp-1008349_111,mp-1008349,-0.22756933593750084,0.25333499908447266,20.0,True,-0.22256445312500084,1.7921643257141113,37.0,True
mp-1008488_100,mp-1008488,0.29310632324218666,0.28001856803894043,23.0,True,0.5845644531249992,1.5545403957366943,43.0,True
mp-1008555_111,mp-1008555,-0.5216977539062508,0.28250932693481445,22.0,True,-0.31579565429687584,2.8424735069274902,59.0,True
mp-1008556_100,mp-1008556,-1.1511228027343758,0.4066016674041748,33.0,True,0.05136132812499916,2.0615742206573486,49.0,True
mp-1008601_001,mp-1008601,-0.41616796875000084,1.057009220123291,78.0,True,-0.8321530761718758,2.168243408203125,55.0,True
mp-1008624_100,mp-1008624,-0.9230344238281258,0.7119853496551514,55.0,True,-0.7424619140625008,0.9526641368865967,25.0,True
mp-1008632_001,mp-1008632,-1.6165158691406258,0.5938725471496582,47.0,True,-1.7233579101562508,2.0646142959594727,51.0,True
mp-1008634_001,mp-1008634,1.2909014282226554,0.32369136810302734,24.0,True,1.3488237915039054,0.9403419494628906,25.0,True
mp-1008680_111,mp-1008680,-1.8583676757812508,0.3047821521759033,25.0,True,-1.4381101074218758,3.1052513122558594,83.0,True
mp-1008728_110,mp-1008728,0.5501406249999992,0.8622763156890869,62.0,True,-0.16046118164062584,2.309819459915161,54.0,True
mp-1008874_111,mp-1008874,0.9444124755859367,0.18364548683166504,15.0,True,1.3431398925781242,2.2818636894226074,59.0,True
mp-1009130_111,mp-1009130,0.8332827148437492,0.2958180904388428,23.0,True,1.1493227539062492,2.5550191402435303,64.0,True
mp-1009133_110,mp-1009133,-1.0961606445312508,0.5714812278747559,43.0,True,-10.496093505859376,3.892688512802124,88.0,True
mp-1009152_111,mp-1009152,0.8578493652343742,0.6611549854278564,52.0,True,1.1685793457031242,1.4420549869537354,36.0,True
mp-1009222_111,mp-1009222,-6.434585327148438,1.2073478698730469,98.0,True,-9.240485900878907,2.016313076019287,56.0,True
mp-1009460_110,mp-1009460,-2.286132568359376,0.603485107421875,49.0,True,-2.326629394531251,2.144618272781372,58.0,True
mp-1009581_001,mp-1009581,0.05688500976562416,0.6799890995025635,55.0,True,-0.12399267578125084,1.9848499298095703,52.0,True
mp-1009641_001,mp-1009641,1.0504305419921867,0.19482040405273438,14.0,True,0.8316958007812492,2.1715612411499023,56.0,True
mp-1009654_110,mp-1009654,-0.6765286865234383,0.5301387310028076,45.0,True,-0.7171170654296883,3.9588515758514404,105.0,True
mp-1009657_110,mp-1009657,-0.8573300781250008,0.284778356552124,22.0,True,-0.6355893554687508,4.09372615814209,88.0,True
mp-1009730_111,mp-1009730,-0.6151654663085946,0.7232370376586914,61.0,True,-0.5544507446289071,4.353245258331299,116.0,True
mp-1009733_111,mp-1009733,-0.4965588989257821,0.4709310531616211,40.0,True,-0.6464612426757821,2.2491276264190674,60.0,True
mp-1009755_111,mp-1009755,-0.5414273681640633,0.4320549964904785,37.0,True,-0.5576779785156258,2.040363073348999,55.0,True
mp-1009756_111,mp-1009756,-0.7843549194335946,0.3730127811431885,32.0,True,-0.6895215454101571,3.1489527225494385,85.0,True
mp-1009834_001,mp-1009834,-1.4485471191406258,0.4097886085510254,33.0,True,-1.7601315917968758,1.4484248161315918,36.0,True
mp-10098_110,mp-10098,-2.073455566406251,1.7878601551055908,138.0,True,-2.100524658203126,5.47076678276062,118.0,True
mp-1009_100,mp-1009,-1.0966336669921883,0.6402609348297119,52.0,True,-1.4199063720703133,1.540285348892212,41.0,True
mp-100_100,mp-100,-2.345275634765626,0.3848695755004883,31.0,True,-2.194579833984376,1.9818572998046875,53.0,True
mp-1010136_110,mp-1010136,-0.12355017089843834,0.17809081077575684,13.0,True,0.08973718261718666,3.9635658264160156,99.0,True
mp-10106_001,mp-10106,-1.8701169433593758,1.0807454586029053,83.0,True,-1.3716428222656258,1.556969404220581,42.0,True
mp-1011695_111,mp-1011695,0.8452150878906242,0.7617614269256592,65.0,True,0.7186281738281242,4.3882529735565186,116.0,True
mp-1011696_001,mp-1011696,0.09086633300781166,0.6885273456573486,59.0,True,0.48774743652343666,1.2975456714630127,38.0,True
mp-1011709_001,mp-1011709,0.1808512268066398,0.5255765914916992,45.0,True,0.5231211242675773,4.190206050872803,122.0,True
mp-1012110_010,mp-1012110,-1.2659213485717782,0.24008774757385254,20.0,True,-1.2144362869262704,0.6504204273223877,20.0,True
mp-1012435_100,mp-1012435,-0.03931402587890709,0.9949703216552734,80.0,True,0.6470797119140617,2.5832254886627197,72.0,True
